Ziptie	Lot_Name	Species	seed_zone	elevation_cat	elevation_band	lot	tree_num	metal_tag	Genotype	Plant_Yr	Mort_Yr	Height_17	BD_17	%_alive_needles_17	Height_18	BD_18	%_alive_needles_18	Height_19	BD_19	%_alive_needles_19	Height_20	BD_20	%_alive_needles_20	Needles?	Height_21	BD_21	alive_needles_21	num_needles
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	23	693	0	2017	2020	11	4.2	100	-99	-99	-99	24	16.89	100	-99	-99	-99	0	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	18	823	0	2017	2020	15.5	3.3	75	-99	-99	-99	16	9.8	100	-99	-99	-99	0	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	14	-99	0	2017	2017	11	2.5	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	15	-99	0	2017	2017	14	5.3	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	7	492	0	2017	2019	-99	-99	-99	23	7.25	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	3	999	0	2017	2019	13	3.5	-99	19	6.41	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	2	-99	0	2017	2019	10	2.6	-99	29	8.32	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	6	-99	0	2017	2019	17	4.2	75	35	8.77	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	8	-99	0	2017	2019	-99	-99	-99	15	7.57	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	9	-99	0	2017	2019	12.5	3.3	-99	13	4.69	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	11	-99	0	2017	2019	15.5	4.3	100	22	7.18	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	13	-99	0	2017	2019	17	4.4	75	11	4.38	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	17	-99	0	2017	2019	10	2.1	-99	13	4.27	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	12	867	0	2017	2020	15	4	-99	18	6.45	100	17	6.97	100	-99	-99	-99	0	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	-99	1687	0	2017	2020	-99	-99	-99	-99	-99	-99	14	4.36	100	-99	-99	-99	0	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	24	24	326	0	2017	-99	12	4.1	100	-99	-99	-99	32	9.46	100	-99	-99	-99	0	41.4	16.6	25	3
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	1	113	0	2017	-99	15	3.9	-99	-99	-99	-99	20	8.13	100	27.3	8.4	100	3	37.8	15.2	100	5
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	10	324	0	2017	-99	17	4.7	100	-99	-99	-99	40.5	18.23	100	71	17.7	85	5	86.2	22.5	100	5
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	4	359	0	2017	-99	14	4.6	100	17	10.51	100	31	10.67	100	39	18.5	100	3	77.8	29.1	100	5
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	20	562	1	2017	-99	21	4.7	-99	-99	-99	-99	42	14.85	100	83	18.8	100	5	80.2	27.7	100	5
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	21	581	0	2017	-99	15	4.4	100	20	7.6	100	19	10.08	100	36	15.2	75	3	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	16	732	0	2017	-99	10	3	-99	-99	-99	-99	26.5	7.98	100	38	10.6	90	5	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	22	912	0	2017	-99	15	3.7	75	12	3.03	25	31	7.85	100	-99	-99	-99	0	38	14.2	25	5
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	19	959	0	2017	-99	13	4.4	75	-99	-99	-99	14	7.3	100	20	10	95	3	24.6	9.9	100	5
clear	PILA60_3	PILA	533	-99	6000	-99	16	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	17	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	19	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	5	-99	0	2017	2017	4	3.1	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	6	-99	0	2017	2017	-99	-99	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	7	-99	0	2017	2017	12	3.5	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	8	-99	0	2017	2017	13	2.8	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	14	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	PILA60_3	PILA	533	-99	6000	-99	15	-99	0	2017	2017	15	3.8	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
