TAG_COLOR	Lot_Name	Species	lot	MOM	seed_zone	elevation_cat	elevation_band	tree_num	metal_tag	Genotype	Plant_Yr	Mort_Yr	Height_17	Height_18	BD_18	%_alive_needles_18	Height_19	BD_19	%_alive_needles_19	Height_20	BD_20	%_alive_needles_20	Tissue_collected	Height_21	BD_21	alive_needles_21	num_needles
black/LtGreen	PILA55_3	PILA	6456/8160	19473	526	-99	5500	15	2912	0	2018	-99	-99	18	3.97	100	28	8.96	100	58	11.5	95	5	94	26.3	100	5
black/LtGreen	PILA55_3	PILA	6456/8160	19474	526	-99	5500	16	2437	0	2018	-99	-99	14	3.34	100	10.5	5.7	100	15	6.4	100	3	22.6	10.9	100	5
black/LtGreen	PILA55_3	PILA	6456/8160	19465	526	-99	5500	7	2010	0	2018	-99	-99	13	3.18	100	13	7.38	100	19	12.3	100	2	-99	-99	-99	-99
black/LtGreen	PILA55_3	PILA	6456/8160	19469	526	-99	5500	11	2956	0	2018	-99	-99	11	3.16	100	14	8.01	100	15.2	6.4	95	3	-99	-99	-99	-99
black/LtGreen	PILA55_3	PILA	6456/8160	19472	526	-99	5500	14	1020/2021	0	2018	2018	-99	16	3.57	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/LtGreen	PILA55_3	PILA	6456/8160	19467	526	-99	5500	9	-99	0	2018	2018	-99	15	2.97	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	15	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	16	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	17	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	18	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	19	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	20	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	21	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	22	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	23	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	24	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	25	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	1	-99	0	2018	2019	-99	15	2.6	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	2	-99	0	2018	2019	-99	16	4.15	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	11	-99	0	2018	2019	-99	12	2.89	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	3	-99	0	2018	2019	-99	12	2.3	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	5	-99	0	2018	2019	-99	13	3.38	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	4	294	0	2018	2020	-99	12	2.62	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	5	2030	0	2018	2021	-99	11	3.19	100	13.5	4.28	100	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	14	2055	0	2018	2021	-99	5	2.64	75	8	3.97	100	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	13	2902	0	2018	2021	-99	8	2.29	100	5.5	3.03	75	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	12	2978	0	2018	2021	-99	12	2.83	100	11	4.01	100	-99	-99	-99	-99	-99	-99	-99	-99
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	6	2250	1	2018	2021	-99	20	4.76	100	26	9.23	100	37.5	12.7	100	3	38	13.6	0	5
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	10	2819	1	2018	2021	-99	9	2.35	100	13.5	4.75	100	20.5	5.4	100	3	21.8	6.1	0	5
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	7	2251	1	2018	-99	-99	8	2.81	100	12	4	100	23	5.7	100	3	20.4	7.1	75	5
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	8	2842	1	2018	-99	-99	13	2.99	100	18	5.5	100	26	7.62	100	5	37.4	10.9	80	5
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	3	2177	0	2018	-99	-99	12	3.96	100	14.5	4.54	100	24	5.9	100	3	33.4	7.9	100	5
black/RegYellow	PILA55_4	PILA	8161	19461	526	-99	5500	9	2834	1	2018	-99	-99	14	3.51	100	17.5	5.79	100	23.8	8.7	100	3	39.2	9.7	100	5
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	4	21	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	14	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	15	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
